,field,type,desc,actuation,seal_type,pilot_type,back_pressure_check,pilot_valve,fitting_size,solenoid_qty,x_option
AA,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL",1,0,,,,0,1,False
AB,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL",2,0,,,,0,2,False
AC,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL",3,0,,,,0,2,False
AD,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL",4,0,,,,0,2,False
AE,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL",5,0,,,,0,2,False
AF,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL",A,0,,,,0,2,False
AG,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL",B,0,,,,0,2,False
AH,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL",C,0,,,,0,2,False
AI,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, EXTERNAL PILOT",1,0,R,,,0,1,False
AJ,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, EXTERNAL PILOT",2,0,R,,,0,2,False
AK,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, EXTERNAL PILOT",3,0,R,,,0,2,False
AL,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, EXTERNAL PILOT",4,0,R,,,0,2,False
AM,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, EXTERNAL PILOT",5,0,R,,,0,2,False
AN,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, EXTERNAL PILOT",A,0,R,,,0,2,False
AO,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, EXTERNAL PILOT",B,0,R,,,0,2,False
AP,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL EXTERNAL PILOT",C,0,R,,,0,2,False
AQ,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, BACK PRESSURE CHECK",1,0,,H,,0,1,False
AR,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, BACK PRESSURE CHECK",2,0,,H,,0,2,False
AS,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, BACK PRESSURE CHECK",A,0,,H,,0,2,False
AT,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, BACK PRESSURE CHECK",B,0,,H,,0,2,False
AU,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, BACK PRESSURE CHECK",C,0,,H,,0,2,False
AV,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL QUICK RESPONSE",1,0,,,B,0,1,False
AW,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL QUICK RESPONSE",2,0,,,B,0,2,False
BA,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, QUICK RESPONSE",3,0,,,B,0,2,False
BB,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, QUICK RESPONSE",4,0,,,B,0,2,False
BC,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, QUICK RESPONSE",5,0,,,B,0,2,False
BD,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, QUICK RESPONSE",A,0,,,B,0,2,False
BE,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, QUICK RESPONSE",B,0,,,B,0,2,False
BF,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL QUICK, RESPONSE",C,0,,,,0,2,False
BG,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",1,0,R,,B,0,1,False
BH,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, EXTERNAL PILOT QUICK RESPONSE",2,0,R,,B,0,2,False
BI,valve_callout,base_mounted_valve,"3 POS CC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",3,0,R,,B,0,2,False
BJ,valve_callout,base_mounted_valve,"3 POS EC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",4,0,R,,B,0,2,False
BK,valve_callout,base_mounted_valve,"3 POS PC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",5,0,R,,B,0,2,False
BL,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",A,0,R,,B,0,2,False
BM,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",B,0,R,,B,0,2,False
BN,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, EXTERNAL PILOT, QUICK RESPONSE",C,0,R,,B,0,2,False
BO,valve_callout,base_mounted_valve,"2 POS SGL, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE",1,0,R,H,B,0,1,False
BP,valve_callout,base_mounted_valve,"2 POS DBL, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE",5,0,R,H,B,0,2,False
BQ,valve_callout,base_mounted_valve,"4 POS NC/NC, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE",A,0,R,H,B,0,2,False
BR,valve_callout,base_mounted_valve,"4 POS NO/NO, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE",B,0,R,H,B,0,2,False
BS,valve_callout,base_mounted_valve,"4 POS NC/NO, RUBBER SEAL, EXTERNAL PILOT, BACK PRESSURE CHECK, QUICK RESPONSE",C,0,R,H,B,0,2,False
BT,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL",1,1,,,B,0,1,False
BU,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL",2,1,,,,0,2,False
BV,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL",3,1,,,,0,2,False
BW,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL",4,1,,,,0,2,False
CA,valve_callout,base_mounted_valve,"3 POS PC, METAL SEAL",5,1,,,,0,2,False
CB,valve_callout,base_mounted_valve,"2 POS SGL, METAL SEAL, EXTERNAL PILOT",1,1,R,,,0,1,False
CC,valve_callout,base_mounted_valve,"2 POS DBL, METAL SEAL, EXTERNAL PILOT",2,1,R,,,0,2,False
CD,valve_callout,base_mounted_valve,"3 POS CC, METAL SEAL, EXTERNAL PILOT",3,1,R,,,0,2,False
CE,valve_callout,base_mounted_valve,"3 POS EC, METAL SEAL, EXTERNAL PILOT",4,1,R,,,0,2,False
